iterations,learning_rate,depth,l2_leaf_reg,recall,roc_auc,balance_score
150,0.07,6,3,0.991869918699187,0.8040206790295383,0.8979452988643626
150,0.07,6,4,0.9917448405253283,0.8039954649834008,0.8978701527543645
150,0.07,6,5,0.9916197623514696,0.8039872753933224,0.8978035188723961
175,0.07,6,4,0.991494684177611,0.8041095602980262,0.8978021222378185
175,0.07,6,3,0.991494684177611,0.8041074166944056,0.8978010504360083
175,0.1,6,5,0.9913696060037523,0.8040169741801407,0.8976932900919465
175,0.07,6,5,0.9909943714821764,0.8040998694538078,0.8975471204679921
150,0.1,5,5,0.9909943714821764,0.8038472373536494,0.8974208044179128
150,0.1,6,5,0.9904940587867417,0.804011630534801,0.8972528446607713
200,0.05,5,4,0.9904940587867417,0.8037653853491848,0.8971297220679633
200,0.07,5,3,0.9899937460913071,0.8039112440408733,0.8969524950660902
200,0.05,4,5,0.990368980612883,0.8033664760790882,0.8968677283459856
175,0.1,5,3,0.9892432770481551,0.8040202239710224,0.8966317505095887
200,0.1,4,4,0.9893683552220137,0.8038106687927703,0.896589512007392
200,0.07,4,5,0.9893683552220137,0.8037214539122515,0.8965449045671325
200,0.05,5,3,0.9893683552220137,0.8036509798338989,0.8965096675279562
200,0.07,6,4,0.9892432770481551,0.803701204539892,0.8964722407940235
175,0.07,5,3,0.9891181988742964,0.8037857986011384,0.8964519987377174
200,0.1,5,4,0.9889931207004378,0.8038392965093837,0.8964162086049108
200,0.05,4,4,0.9892432770481551,0.8035587770772071,0.8964010270626811
200,0.1,4,3,0.9889931207004378,0.8037486081757276,0.8963708644380827
175,0.1,4,5,0.9889931207004378,0.8037144202585964,0.896353770479517
175,0.05,5,3,0.9891181988742964,0.8035846524945642,0.8963514256844303
200,0.1,5,5,0.9887429643527205,0.8039519578775597,0.8963474611151401
200,0.07,6,3,0.9889931207004378,0.8036911332609016,0.8963421269806697
175,0.1,5,5,0.9887429643527205,0.803906228154722,0.8963245962537212
175,0.1,5,4,0.9888680425265791,0.8037774846381536,0.8963227635823663
175,0.05,6,5,0.9888680425265791,0.8037728082168759,0.8963204253717275
175,0.1,6,4,0.9886178861788618,0.8040175433690885,0.8963177147739751
150,0.1,6,4,0.9886178861788618,0.8040175433690885,0.8963177147739751
