iteracion,roc_auc,sensibilidad
0,0.0,0.0
1,78.07264098477745,80.96741917328497
2,78.99660677920886,82.59020699143268
3,79.43752367349923,84.31305109123882
4,79.36097130443656,84.1066850103183
5,79.58268128634678,83.77837533612657
6,79.67871346772486,83.73772747170283
7,79.68861133773284,83.66581201926083
8,79.76801505762704,83.89719217059596
9,79.77959064199136,83.93784003501969
10,79.79148469625552,83.77837533612657
11,79.91033597843962,83.87530485898318
12,79.90063035539382,83.75961478331561
13,79.92761220693161,83.75961478331561
14,79.98027520014641,83.87217810018134
15,80.01749122356543,83.86279782377586
16,80.05117419352776,83.76274154211744
17,80.07965896950444,83.6376711900444
18,80.1283746222258,83.90031892939778
19,80.1479046201155,83.86905134137953
20,80.18154422637642,83.98786817584892
21,80.19953842498403,83.90031892939778
22,80.22512287164231,83.94096679382153
23,80.23877498473362,83.90344568819961
24,80.25416277981161,83.91282596460509
25,80.26780175211023,83.98786817584892
26,80.30015340522974,84.11606528672378
27,80.29942225774305,84.00037521105622
28,80.32047819703418,84.04727659308361
29,80.34162152213943,84.03476955787632
30,80.34964650455635,83.99412169345257
31,80.36701177403539,84.09730473391282
32,80.38898153337738,84.25364267400413
33,80.39942873790046,84.51941717215934
34,80.41057977498487,84.51941717215934
35,80.4251546058245,84.47564254893378
36,80.42863372442017,84.48814958414108
37,80.44078551013949,84.51003689575386
38,80.44610269368283,84.58820586579951
39,80.45692393070586,84.51316365455568
40,80.466753993492,84.64136076543055
41,80.47683096052486,84.54130448377212
42,80.47899457329413,84.51003689575386
43,80.49121818071542,84.45688199612282
44,80.49722225187308,84.4662622725283
45,80.50623933213167,84.45062847851916
46,80.51055865673426,84.46000875492464
47,80.51434857290893,84.4912763429429
48,80.51921904265778,84.50065661934838
49,80.52719136131334,84.51941717215934
50,80.5336855282561,84.44437496091551
51,80.54165182061914,84.43812144331187
52,80.54952779175088,84.45688199612282
53,80.55356118294658,84.44124820211368
54,80.55904171651062,84.45062847851916
55,80.56755909000769,84.40998061409543
56,80.57499330371907,84.3943468200863
57,80.58242223185064,84.37558626727534
58,80.58549169057804,84.41310737289726
59,80.59128982530476,84.38496654368082
60,80.59346044283893,84.41310737289726
61,80.59840801986957,84.41623413169908
62,80.60089746394303,84.44124820211368
63,80.6056480022402,84.42874116690639
64,80.61044880841307,84.3943468200863
65,80.61603327037578,84.36933274967168
66,80.62145152920203,84.36933274967168
67,80.62764150096827,84.3349384028516
68,80.63016622491523,84.3599524732662
69,80.63602238213991,84.34744543805891
70,80.64186450240095,84.34431867925709
71,80.64592230968329,84.35369895566257
72,80.65015463254502,84.32555812644613
73,80.65104088162165,84.33181164404978
74,80.65686083536811,84.30367081483334
75,80.66045298124116,84.2974172972297
76,80.66512510457848,84.2630229504096
77,80.67013673954423,84.24738915640047
78,80.67464149838072,84.23488212119317
79,80.67828424133513,84.24738915640047
80,80.68348738255031,84.23175536239135
81,80.68619917761485,84.18172722156213
82,80.68835100299246,84.1786004627603
83,80.69313271523693,84.19736101557126
84,80.6953286816071,84.19423425676943
85,80.6974645496547,84.19110749796761
86,80.69883607531132,84.1786004627603
87,80.70255348393887,84.19110749796761
88,80.7052034432065,84.18798073916578
89,80.70894117113909,84.2129948095804
90,80.71176514303305,84.22237508598587
91,80.71479804164272,84.23175536239135
92,80.71837047175444,84.20986805077855
93,80.72098361485551,84.20674129197674
94,80.7262597574263,84.22237508598587
95,80.7289523031042,84.19423425676943
96,80.73284965920458,84.17234694515665
97,80.73806694711863,84.18485398036395
98,80.74149335622994,84.18485398036395
99,80.74374867106533,84.18798073916578
100,80.7477184524114,84.20674129197674
101,80.75085003956295,84.20361453317491
102,80.75198150113496,84.2255018447877
103,80.75442252454228,84.18172722156213
104,80.75716424074369,84.15358639234569
105,80.7602122370908,84.16922018635482
106,80.76181016479705,84.16922018635482
107,80.76493003771378,84.16296666875117
108,80.7698135659539,84.1786004627603
109,80.77342769544951,84.15983990994934
110,80.77519893164774,84.15671315114753
111,80.77958693220933,84.15671315114753
112,80.78263547723256,84.15358639234569
113,80.7856962302991,84.13795259833657
114,80.78755149624263,84.1410793571384
115,80.78872838819603,84.15045963354387
116,80.79032708404883,84.16296666875117
117,80.79213414879663,84.15671315114753
118,80.79592881101959,84.16296666875117
119,80.79864803150073,84.14733287474205
120,80.80156327566455,84.13795259833657
121,80.80475658887777,84.20674129197674
122,80.80660570050433,84.20986805077855
123,80.80868145194016,84.18485398036395
124,80.81056626409186,84.18798073916578
125,80.81418061305791,84.19110749796761
126,80.81640143445559,84.19423425676943
127,80.8183861971042,84.19423425676943
128,80.81965938171382,84.18172722156213
129,80.82169917657566,84.18485398036395
130,80.82379001660433,84.16609342755301
131,80.82519517610612,84.18485398036395
132,80.82773830813636,84.18485398036395
133,80.83089089129348,84.19423425676943
134,80.83122289520387,84.19423425676943
135,80.83321185522468,84.18485398036395
136,80.83616192203188,84.18172722156213
137,80.83877588814713,84.18485398036395
138,80.84013331282787,84.18485398036395
139,80.84153840831745,84.18485398036395
140,80.8441424433952,84.19423425676943
141,80.84531201966723,84.18485398036395
142,80.84674710030586,84.19110749796761
143,80.84819492851932,84.18172722156213
144,80.84979567276291,84.18172722156213
145,80.85152689218395,84.18172722156213
146,80.85482540489548,84.16296666875117
147,80.85569884238508,84.17234694515665
148,80.85791231152297,84.19110749796761
149,80.86084077878088,84.20048777437309
150,80.86487641954862,84.19736101557126
